diet_cat_id,food,weight,cals,protein,fats,carbs,fiber,average_portion,portion_cals,portion_protein,portion_fat,portion_carbs,portion_fiber,active
4,Satsuma,100g,49,0.7,0,9.3,1.5,1 fruit,29,0,0,5.6,0.9,1
4,Strawberry,100g,42,0.6,0.5,6.1,3.8,78g,33,0,0,4.8,3,1
4,Sultana,100g,300,2.7,0,69,2,18g,53,0,0,12,0,1
7,Artichokes,100g,29,2.8,0,2.7,1,80g,24,2.2,0,2.2,0.8,1
7,Asparagus,100g,32,2.9,0.6,2,1.7,75g,24,2.2,0,1.5,1.3,1
7,Aubergine,100g,24,0.9,0,2.2,2,80g,19,0.7,0,1.8,1.6,1
7,Bamboo Shoots,100g,27,1.5,0,0.7,6.6,80g,22,1.2,0,0.6,5.3,1
7,Bean Sprouts,100g,38,2.9,0.5,3.8,1.5,75g,29,2.2,0,2.8,1.1,1
7,Bok Choy,100g,18,1,0,1.4,1.5,80g,14,0.8,0,1.1,1.2,1
7,Broccoli,100g,47,4.3,0.6,3.1,4,85g,40,3.7,0.5,2.6,3.4,1
7,Cabbage,100g,37,1.8,0,4.4,3.5,40g,15,0.7,0,1.8,1.4,1
7,CauliFlower,100g,38,2.5,0,4.4,1.8,40g,15,1,0,1.8,0.7,1
7,Celery,100g,13,0,0,0.9,1.1,80g,11,0,0,0.7,0.9,1
7,Courgette,100g,26,1.8,0,1.8,2,80g,21,1.4,0,1.4,1.6,1
7,Cucumber,100g,19,1,0.6,1.2,0.7,40g,8,0,0,0,0,1
7,Fennel,100g,23,0.9,0,1.9,3.5,80g,19,0.8,0,1.4,2.8,1
7,Garlic,100g,109,7.9,0.6,15,4.4,3g,3,0,0,0,0,1
7,Green Bean,100g,34,2.1,0,3,3.4,75g,26,1.5,0,2.3,2.6,1
7,Kale,100g,45,3.4,1.6,1.4,3.7,60g,27,2.1,1,0.8,2.2,1
7,Leek,100g,31,1.6,0.5,2.9,2.2,80g,24,1.3,0,2.3,1.8,1
7,Mangetout,100g,41,3.6,0,4.1,2.3,80g,33,2.9,0,3.3,1.8,1
7,Mushroom,100g,18,2.5,0,0,0.7,30g,5,0.8,0,0,0,1
7,Okra,100g,43,2.5,1,2.9,4.5,85g,37,2.1,0.9,2.5,3.8,1
